Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
58,Yes,Non-Travel,291,Research & Development,1,2,Medical,1,1,4,Female,38,2,1,Laboratory Technician,1,Married,5872,5950,1,Y,Yes,24,4,4,80,1,36,6,2,8,3,1,2
42,No,Travel_Frequently,562,Research & Development,3,2,Life Sciences,1,2,2,Female,70,1,3,Sales Executive,3,Married,11537,12535,6,Y,Yes,15,4,1,80,1,23,6,3,0,0,0,0
35,Yes,Travel_Rarely,284,Research & Development,19,4,Marketing,1,3,2,Female,30,1,1,Laboratory Technician,3,Married,5267,5950,8,Y,Yes,14,4,3,80,1,16,0,1,5,2,0,1
53,No,Travel_Frequently,441,Research & Development,20,4,Other,1,4,2,Male,56,2,2,Sales Representative,1,Divorced,9428,9065,8,Y,No,17,4,4,80,1,33,3,1,15,6,10,5
59,No,Travel_Frequently,412,Research & Development,17,3,Other,1,5,2,Female,51,3,1,Sales Executive,3,Single,7957,11568,8,Y,No,25,4,2,80,1,39,6,2,13,5,6,4
33,No,Travel_Frequently,878,Research & Development,24,2,Marketing,1,6,2,Female,111,3,5,Research Scientist,2,Married,17833,18560,8,Y,No,23,4,4,80,3,14,4,4,10,4,0,3
19,No,Non-Travel,275,Sales,14,4,Life Sciences,1,7,2,Female,38,2,1,Research Scientist,3,Married,5908,5515,1,Y,No,23,3,4,80,0,1,3,4,0,0,3,0
59,No,Travel_Rarely,395,Research & Development,4,2,Other,1,8,2,Male,47,1,2,Research Scientist,3,Single,7516,9488,2,Y,No,19,3,4,80,2,38,6,4,16,6,6,5
21,No,Travel_Rarely,408,Sales,6,2,Other,1,9,1,Male,51,1,2,Research Director,1,Single,8660,8753,0,Y,No,19,3,4,80,1,2,6,3,6,2,2,2
54,No,Travel_Rarely,640,Research & Development,15,3,Other,1,10,3,Male,83,4,3,Sales Representative,4,Divorced,12503,10823,5,Y,Yes,11,4,3,80,3,34,0,2,16,6,3,5
33,No,Non-Travel,669,Sales,23,3,Marketing,1,11,1,Female,76,1,4,Healthcare Representative,2,Married,12744,14500,1,Y,No,14,3,2,80,0,11,4,3,0,0,0,0
35,No,Travel_Rarely,301,Research & Development,5,1,Marketing,1,12,2,Female,38,1,1,Healthcare Representative,1,Single,6575,8612,6,Y,No,17,3,3,80,1,14,1,1,5,2,0,1
44,No,Travel_Frequently,995,Research & Development,16,5,Technical Degree,1,13,3,Female,128,2,5,Manufacturing Director,4,Single,19803,18504,5,Y,No,24,3,1,80,0,23,0,2,0,0,0,0
22,Yes,Travel_Frequently,629,Research & Development,20,5,Life Sciences,1,14,1,Male,72,4,3,Sales Representative,3,Married,12481,12028,4,Y,Yes,17,4,3,80,2,2,2,1,2,0,0,0
60,No,Non-Travel,846,Research & Development,24,2,Other,1,15,3,Female,105,2,5,Manager,3,Married,16944,16456,4,Y,No,21,4,2,80,1,38,3,4,11,4,2,3
55,No,Non-Travel,515,Research & Development,1,4,Technical Degree,1,16,1,Male,64,2,2,Manufacturing Director,3,Married,10031,12932,2,Y,No,13,3,3,80,0,36,1,3,17,6,0,5
49,No,Non-Travel,591,Sales,16,3,Medical,1,17,4,Female,75,4,3,Research Scientist,4,Divorced,12124,9184,1,Y,No,24,3,4,80,2,30,5,3,9,3,3,3
33,No,Non-Travel,479,Research & Development,29,3,Life Sciences,1,18,4,Female,60,4,2,Laboratory Technician,4,Married,9583,5664,3,Y,Yes,17,4,1,80,0,12,3,3,5,2,4,1
44,No,Travel_Frequently,564,Research & Development,28,4,Life Sciences,1,19,1,Female,72,4,3,Manufacturing Director,4,Married,11203,11340,6,Y,No,13,3,1,80,0,25,3,2,10,4,4,3
44,No,Travel_Rarely,270,Sales,16,3,Other,1,20,2,Female,25,2,1,Human Resources,1,Divorced,5026,1845,1,Y,No,13,4,1,80,1,22,1,1,12,4,2,4
25,Yes,Travel_Rarely,549,Sales,12,4,Marketing,1,21,3,Female,68,1,2,Sales Executive,2,Married,10181,7706,1,Y,No,21,3,1,80,0,6,3,1,0,0,0,0
27,No,Travel_Frequently,830,Research & Development,22,3,Life Sciences,1,22,3,Female,103,4,5,Healthcare Representative,2,Single,16586,18203,4,Y,No,20,3,2,80,2,8,4,1,0,0,0,0
